Username,Password,FullName,Email,Department,Position,PhoneNumber,IsAdmin,LastLogin,LoginAttempts,IsLocked,LockExpiry
e2,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Jane Doe,e2@company.com,HR,HR Manager,555-0002,false,,0,false,
e3,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Robert Johnson,e3@company.com,Finance,Financial Analyst,555-0003,false,,0,false,
e4,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Emily Brown,e4@company.com,Marketing,Marketing Specialist,555-0004,false,,0,false,
e5,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Michael Wilson,e5@company.com,Sales,Sales Representative,555-0005,false,,0,false,
e6,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Sarah Davis,e6@company.com,IT,QA Engineer,555-0006,false,,0,false,
e7,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,David Miller,e7@company.com,Operations,Operations Manager,555-0007,false,,0,false,
e8,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Lisa Anderson,e8@company.com,HR,Recruiter,555-0008,false,,0,false,
e9,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,James Taylor,e9@company.com,Finance,Accountant,555-0009,false,,0,false,
e10,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Jennifer White,e10@company.com,Marketing,Content Writer,555-0010,false,,0,false,
e11,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Thomas Moore,e11@company.com,Sales,Sales Manager,555-0011,false,,0,false,
e12,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Patricia Lee,e12@company.com,IT,System Administrator,555-0012,false,,0,false,
e13,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Richard Clark,e13@company.com,Operations,Logistics Coordinator,555-0013,false,,0,false,
e14,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Mary Rodriguez,e14@company.com,HR,HR Assistant,555-0014,false,,0,false,
e15,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Charles Lewis,e15@company.com,Finance,Financial Controller,555-0015,false,,0,false,
e16,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Elizabeth Hall,e16@company.com,Marketing,Marketing Manager,555-0016,false,,0,false,
e17,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Joseph Allen,e17@company.com,Sales,Sales Director,555-0017,false,,0,false,
e18,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Margaret Young,e18@company.com,IT,Network Engineer,555-0018,false,,0,false,
e19,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Daniel King,e19@company.com,Operations,Supply Chain Manager,555-0019,false,,0,false,
e20,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,Susan Wright,e20@company.com,HR,Training Coordinator,555-0020,false,,0,false,
e1,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,John Smith,e1@company.com,IT,Software Developer,555-0001,false,,1,false,
admin,4cab97e818b20e04b3e8530034ab018229ef6e3c090aa11d38b752e1a7e69b7c,System Administrator,admin@system.com,IT,System Administrator,1234567890,true,,3,true,2025-05-29T03:02:22.169626600
